Ingredient,Effect1,Effect2,Effect3,Effect4
Snowberries,Fortify Enchanting,Resist Fire,Resist Frost,Resist Shock
Spider Egg,Damage Magicka Regen,Damage Stamina,Detect Life,Fortify Archery
Spriggan Sap,Damage Magicka Regen,Fortify Alteration,Fortify Enchanting,Fortify Smithing
Swamp Fungal Pod,Damage Magicka Regen,Lingering Damage Undead,Paralysis,Resist Shock
Taproot,Fortify Illusion,Magic Aversion,Magicka,Magicka Regeneration
Thistle Branch,Fatigue,Fortify Heavy Armor,Resist Frost,Resist Poison
Torchbug Abdomen,Detect Life,Lingering Damage Undead,Magic Aversion,Stamina Fortification
Troll Fat,Fortify Two-handed,Frenzy,Lingering Damage Health,Resist Disease
Tundra Cotton,Fortify Block,Fortify Speech,Fortify Unarmed,Resist Paralysis
Void Salts,Magicka,Resist Shock,Shock Aversion,Silence
Wheat,Damage Magicka Regen,Damage Stamina Regen,Health,Health Fortification
White Cap,Drain Intelligence,Fortify Heavy Armor,Fortify Restoration,Frost Aversion
Wisp Wrappings,Detect Life,Etherealize,Fortify Destruction,Resist Magic
